funcid,dim,milestone,error
22,10,1,1.819525e+03
22,10,2,1.819525e+03
22,10,3,1.819525e+03
22,10,5,1.819525e+03
22,10,10,1.819525e+03
22,10,20,1.819525e+03
22,10,30,1.819525e+03
22,10,40,1.819525e+03
22,10,50,1.819525e+03
22,10,60,1.819525e+03
22,10,70,1.819525e+03
22,10,80,1.819525e+03
22,10,90,1.819525e+03
22,10,100,1.819525e+03
22,10,1,1.819525e+03
22,10,2,1.819525e+03
22,10,3,1.819525e+03
22,10,5,1.819525e+03
22,10,10,1.819525e+03
22,10,20,1.819525e+03
22,10,30,1.819525e+03
22,10,40,1.819525e+03
22,10,50,1.819525e+03
22,10,60,1.819525e+03
22,10,70,1.819525e+03
22,10,80,1.819525e+03
22,10,90,1.819525e+03
22,10,100,1.819525e+03
22,10,1,1.819525e+03
22,10,2,1.819525e+03
22,10,3,1.819525e+03
22,10,5,1.819525e+03
22,10,10,1.819525e+03
22,10,20,1.819525e+03
22,10,30,1.819525e+03
22,10,40,1.819525e+03
22,10,50,1.819525e+03
22,10,60,1.819525e+03
22,10,70,1.819525e+03
22,10,80,1.819525e+03
22,10,90,1.819525e+03
22,10,100,1.819525e+03
22,10,1,1.819525e+03
22,10,2,1.819525e+03
22,10,3,1.819525e+03
22,10,5,1.819525e+03
22,10,10,1.819525e+03
22,10,20,1.819525e+03
22,10,30,1.819525e+03
22,10,40,1.819525e+03
22,10,50,1.819525e+03
22,10,60,1.819525e+03
22,10,70,1.819525e+03
22,10,80,1.819525e+03
22,10,90,1.819525e+03
22,10,100,1.819525e+03
22,10,1,1.819525e+03
22,10,2,1.819525e+03
22,10,3,1.819525e+03
22,10,5,1.819525e+03
22,10,10,1.819525e+03
22,10,20,1.819525e+03
22,10,30,1.819525e+03
22,10,40,1.819525e+03
22,10,50,1.819525e+03
22,10,60,1.819525e+03
22,10,70,1.819525e+03
22,10,80,1.819525e+03
22,10,90,1.819525e+03
22,10,100,1.819525e+03
22,10,1,1.819525e+03
22,10,2,1.819525e+03
22,10,3,1.819525e+03
22,10,5,1.819525e+03
22,10,10,1.819525e+03
22,10,20,1.819525e+03
22,10,30,1.819525e+03
22,10,40,1.819525e+03
22,10,50,1.819525e+03
22,10,60,1.819525e+03
22,10,70,1.819525e+03
22,10,80,1.819525e+03
22,10,90,1.819525e+03
22,10,100,1.819525e+03
